Set random seed to 2021
Number of classes: 2
Number of model parameters: 11177538
Length of train/val datasets: 237937, 61915
Length of train/val dataloaders: 24, 7
Using 1 GPUs: GeForce RTX 3090
Max/min/avg number of train datasets: 167122, 70815, 118968.5
Max/min/avg number of test datasets: 43798, 18117, 30957.5
Config:
  - seed: 2021
  - root_dir: croppedData
  - train_batch_size: 10000
  - test_batch_size: 10000
  - lr: 0.001
  - test_ratio: 0.2
  - num_epoch: 200
  - grad_accum_step: 1
  - data_parallel: False
  - optim_type: Adam
  - loss_type: CE
  - model_type: resnet18
  - model_path: ckpt/resnet18_4839_pretrain/best_loss.pth
  - train_isNull: True
  - gray_scale: False
  - use_imagenet_pretrain: True
  - cfg_str: NULL_use_imagenet_pretrain_
  - dest_path: ckpt/resnet18_lr0.001_CE_NULL_use_imagenet_pretrain_


Epoch   3 | Train step  21 | Loss: 0.324353 | Acc: 86.974762%
Epoch   3 | Train step  22 | Loss: 0.324010 | Acc: 86.992727%
Epoch   3 | Train step  23 | Loss: 0.323973 | Acc: 86.983478%
Epoch   3 | Train step  24 | Loss: 0.323572 | Acc: 86.989413%
Epoch   3 | Train | Loss: 0.323572 | Acc: 86.989413%
Epoch   3 |  Val  | Loss: 0.312398 | Acc: 87.503836%
Model(loss) saved.
Current best: min_loss = 0.31240, best_acc = 87.50384%
Epoch time: 8m/8.8h


Epoch   4 | Train step   1 | Loss: 0.309118 | Acc: 87.380000%
Epoch   4 | Train step   2 | Loss: 0.306396 | Acc: 87.515000%
Epoch   4 | Train step   3 | Loss: 0.311161 | Acc: 87.286667%
Epoch   4 | Train step   4 | Loss: 0.309574 | Acc: 87.412500%
Epoch   4 | Train step   5 | Loss: 0.309249 | Acc: 87.320000%
Epoch   4 | Train step   6 | Loss: 0.308152 | Acc: 87.330000%
Epoch   4 | Train step   7 | Loss: 0.307330 | Acc: 87.354286%
Epoch   4 | Train step   8 | Loss: 0.305070 | Acc: 87.517500%
Epoch   4 | Train step   9 | Loss: 0.304311 | Acc: 87.550000%
Epoch   4 | Train step  10 | Loss: 0.305575 | Acc: 87.508000%
Epoch   4 | Train step  11 | Loss: 0.305422 | Acc: 87.496364%
Epoch   4 | Train step  12 | Loss: 0.305022 | Acc: 87.495000%
Epoch   4 | Train step  13 | Loss: 0.304539 | Acc: 87.510000%
Epoch   4 | Train step  14 | Loss: 0.304451 | Acc: 87.522143%
Epoch   4 | Train step  15 | Loss: 0.304467 | Acc: 87.516000%
Epoch   4 | Train step  16 | Loss: 0.304162 | Acc: 87.516250%
Epoch   4 | Train step  17 | Loss: 0.303841 | Acc: 87.532353%
Epoch   4 | Train step  18 | Loss: 0.303916 | Acc: 87.517222%
Epoch   4 | Train step  19 | Loss: 0.303993 | Acc: 87.491579%
Epoch   4 | Train step  20 | Loss: 0.303107 | Acc: 87.547500%
Epoch   4 | Train step  21 | Loss: 0.302551 | Acc: 87.568095%
Epoch   4 | Train step  22 | Loss: 0.301818 | Acc: 87.592727%
Epoch   4 | Train step  23 | Loss: 0.301064 | Acc: 87.634783%
Epoch   4 | Train step  24 | Loss: 0.300666 | Acc: 87.640006%
Epoch   4 | Train | Loss: 0.300666 | Acc: 87.640006%
Epoch   4 |  Val  | Loss: 0.295109 | Acc: 87.946378%
Model(loss) saved.
Current best: min_loss = 0.29511, best_acc = 87.94638%
Epoch time: 11m/8.8h


Epoch   5 | Train step   1 | Loss: 0.277464 | Acc: 88.270000%
Epoch   5 | Train step   2 | Loss: 0.279260 | Acc: 88.325000%
Epoch   5 | Train step   3 | Loss: 0.278211 | Acc: 88.340000%
Epoch   5 | Train step   4 | Loss: 0.277216 | Acc: 88.385000%
Epoch   5 | Train step   5 | Loss: 0.276316 | Acc: 88.388000%
Epoch   5 | Train step   6 | Loss: 0.275628 | Acc: 88.423333%
Epoch   5 | Train step   7 | Loss: 0.275622 | Acc: 88.438571%
Epoch   5 | Train step   8 | Loss: 0.276139 | Acc: 88.390000%
Epoch   5 | Train step   9 | Loss: 0.276474 | Acc: 88.373333%
